Input,Output
"""* 1 -5 1 -6 -5 -7 -2""",-2100
"""+ 7 -5 -2""",0
"""- 3""",3
"""/ 1 -1 -3 -9 1 -6 4""",0.0
"""- -7 -4 0 -5""",2
"""+ 6 4 8 -2 5 0""",21
"""- 9 2 2 9 -1""",-3
"""* -2 7 6 -7 8""",4704
"""+ 6 1 6 6 5""",24
"""+ -5 -6""",-11
"""+ 5 -6 -5""",-6
"""- 3""",3
"""/ -3 4 2 3 -2 -7 7 0""",null
"""* 0 -6 -7 0 4 8 -9 9""",0
"""- 2 5 8""",-11
"""/ -6 -2 -1 -3 4 -4 7 -2""",0.0
"""- -2 9 -6 6""",-11
"""+ -5""",-5
"""- -5 0 0 -5 -7 -3 6 7 7""",-10
"""* -7 -5 7 2 -4 -8""",15680
"""+ -2 7""",5
"""/ -4 -9""",0.44
"""- -4 8 -5 -4 -1 8 -1 2""",-11
"""+ -6 8 7 6 -6 -5 3 7 7""",21
"""* -9 2 -7 4 -9""",-4536
"""+ -2 3 9 -8 3 4 0 -9 7""",7
"""/ 1 -7 4 -3 -7 0 7 8 5""",null
"""- -3 -2 9 -9 2 5 7""",-15
"""- 9 9 4""",-4
"""- -5 -7 8 8""",-14
"""- -6 6 2 8""",-22
"""- 2 9 5 -3 -1 2 5 8""",-23
"""- 3 -3 4 -3 5 8 9""",-17
"""/ 5 -9 9 0 8 -8 3 -4""",null
"""+ 0 0 -6 0 2""",-4
"""/ 5 -3 6 6 -9 2 -2 -9 7""",0.0
"""* 0 -2 -3 -4 7""",0
"""+ 5 2 1""",8
"""/ -9 3 6 8 -4 6""",0.0
"""/ -8 -9 -3 6 -1 1 -2""",-0.02
"""- -6""",-6
"""- -9 1 4 8 3 -5 9""",-29
"""- -9 8 1""",-18
"""- -6 -3 -7 -3 -9""",16
"""- 5 -5 -5 7 -9 0 0""",17
"""+ 1 -7 -9 -3 5""",-13
"""/ -7 0 -3 3 2 5 9 7 4""",null
"""/ 7 -4 6 -4 -3 8""",-0.0
"""/ -6""",-6
"""/ -4 3""",-1.33
"""/ -3 7 -1 -8 -1 7""",0.01
"""+ -5 8 -4 -2 2 4 5 3 -4""",7
"""+ 9 -6 -7 4 -9 -4 1""",-12
"""* 1 -8 -4 4 2""",256
"""* -6 -4 -5""",-120
"""/ -5 -4 -4 8""",-0.04
"""+ 2 7 -5 -6 -2 -5 -3 5 -7""",-14
"""- 0 2""",-2
"""/ 0 2 -4 4""",-0.0
"""/ 8 6 5 -1""",-0.27
"""/ 8 7 -5 8 7 7""",-0.0
"""/ 4 9 -2 8""",-0.03
"""/ -5 -4 -2 -5 0 4 -5 7""",null
"""+ -7 -2 2 0 9 7 -6 -9 -4""",-10
"""* 8 -8 4 -9 -2 5 4 7 7""",-4515840
"""+ -1 6 -4 -9 8 5 -9""",-4
"""- 3 -8 8 -8 -5 7 -2 -1""",12
"""/ -9 4 2 -4 3 -7 3 -9 1""",0.0
"""/ 6 -9 5 -5 -4 9 8 0 -4""",null
"""* 1 -2 1 1 6""",-12
"""- 1 -9 8 -8 7 8 -3 -3 1""",0
"""* -8 -3 -7 -9 7 7 -2 4""",-592704
"""/ 8 4 -4 -4 -4 5 2 1 -6""",0.0
"""* 6 3 -2 -8""",288
"""* -7 8""",-56
"""+ 2 -8 5 -8 9""",0
"""* 0 -2 -6 -4 6 -2 6""",0
"""/ 3 8 -9 -4 -6 -5 -7 8""",-0.0
"""/ -3 -5 -4 0""",null
"""/ -8""",-8
"""/ 4 4 4 -9""",-0.03
"""* 2 -4 -3 -5 -8 7 5 -1""",-33600
"""- 9 7 -9 -9 -5 5 -7 -1 9""",19
"""+ 9 -5""",4
"""/ -9 -2 8 -6 -9 4 -9""",-0.0
"""- -8 5 5""",-18
"""+ -3 8""",5
"""+ 5 7""",12
"""* 7 9 -9 0 5 1""",0
"""/ -8 -7 -7 1""",-0.16
"""* -1 4 3 2 5""",-120
"""+ 6 5 2""",13
"""* 6 2 8 2""",192
"""+ -1""",-1
"""- 1 -8 -7 0 -1 2""",15
"""- 5 2 2 4""",-3
"""/ -8 2 0 4 7 5 6 9 7""",null
"""* 2 -7 -7 9""",882
"""+ 5 2""",7
"""+ -5 -3 -2 0 -7 -4 -6 -7 0""",-34
"""+ 9 -5 7""",11
"""* 5 8 7 3 -5 -4 -9 2 2""",-604800
"""+ -9 -3 7 -2""",-7
"""+ 7""",7
"""- -4 9 2 -4 6 2 3""",-22
"""- 1 0""",1
"""+ 6 2 0 -5 7 3 1 8 0""",22
"""* 9 5 7 -8 2""",-5040
"""/ 7 3 3 -3 -7 -3 -6""",0.0
"""- 9 -4 3 6 3 8 -7 -6 2""",4
"""* 1 4""",4
"""+ 1 1 9 3""",14
"""/ 4 -1 -4""",1.0
"""* 0 -7 9 4""",0
"""- 7 3 7 7 -2 1 3 -8 -5""",1
"""* -9 -3 -2 9 2 0 5 -5 -9""",0
"""* -2 0 9 -2 -6 9 -6 8""",0
"""/ -4 7 -2 -1 2""",-0.14
"""* 9 9 -6""",-486
"""/ -4 2 9 9 3 7""",-0.0
"""- -7 -5 5 -2 -4 7 -9 0 -4""",5
"""- 6 0 -4 -9 -1 5 -8""",23
"""- -8""",-8
"""- 0 -4 5 7 -7 9 1 2 -8""",-5
"""/ 2 9 4 -3 -1""",0.02
"""/ 7 -4 -2""",0.88
"""- -7 3 -5 3 5 -8 6 -6""",-5
"""* -4 -1 9 -9""",-324
"""- -9""",-9
"""+ -6 7 4 2 3 4 0 8""",22
"""/ 5 7""",0.71
"""/ 4 -3 -2 4 0 0""",null
"""- 6 -1 9 0 -9 -3 -4 -1 4""",11
"""+ 7 -5""",2
"""* 8 7 4""",224
"""+ -8""",-8
"""/ -6 9 -9 0 -6""",null
"""- -2 1 -8 -1 -2 3 3 3""",-1
"""/ 2 -9 -2 0""",null
"""* -2 -9""",18
"""/ -5""",-5
"""- 0 1 8 1 0""",-10
"""* 4 -3 -1 6 2 -3""",-432
"""/ 9 3 -3""",-1.0
"""/ -2 7 -6""",0.05
"""- 8 2 -4 3 -7 -8 -3 -1""",26
"""- 1 5 9 7 -3 -1""",-16
"""+ -5 4 3 0 -6 -2 -2 -9""",-17
"""+ -1""",-1
"""- 7 -3 4 -3 -7""",16
"""* -4 6""",-24
"""- -2 0""",-2
"""/ -1 0 -3 -2 -1""",null
"""- -8 5 3 -2 7 -1 9 2 0""",-31
"""- 7 -6""",13
"""/ -1""",-1
"""- 3 6 0 -9 7 -8 -2 0""",9
"""- -3 -7 5 -5 -2 -6 -8 -9 4""",25
"""+ 8 1 8 -7 3 5""",18
"""+ -1 -4 -1 -3 3 -8""",-14
"""+ -9 0""",-9
"""/ 3 -6 6 7 9 -6 0 -2""",null
"""- -6 9 -9 7 6 -4""",-15
"""+ -4""",-4
"""- -2 -6 2 0""",2
"""/ -3 -8 -6 7""",-0.01
"""+ 9 -9 -2 7 -2 -8""",-5
"""- 3""",3
"""+ -4 3 8 0 9 -8""",8
"""- -7 0 2""",-9
"""* -6 3 -3""",54
"""/ -4 1 -4 3 9""",0.04
"""- -6 3 9 2""",-20
"""+ -8 8 6 -4 0 -9""",-7
"""- -6""",-6
"""- 3 3 9 7 7""",-23
"""+ -4 -3 6 8 -6 7 -6 9""",11
"""+ 6 -7 -3 9 -3 -6 -4 7""",-1
"""+ 2 6 5 4 2 -9""",10
"""/ 8 -5""",-1.6
"""+ 6 4 -6 -9 6 2 -1 -9""",-7
"""/ -3 -1 -5 -3""",0.2
"""* 4 6 7 8 -1 2""",-2688
"""/ -3""",-3
"""/ 7 2 -7""",-0.5
"""/ -6""",-6
"""+ -3 1 2 -1 -8 3 9 -6 8""",5
"""* 4 0 3 -3 -2 -7 0 -9 -5""",0
"""- 4 -7 -2 5 4 6""",-2
"""* 5 -3 -8 0""",0
"""- -9 2 -6 7""",-12
"""- 9 3 4 -9 -5""",16
"""- -3""",-3
"""* -4 1""",-4
"""* -8""",-8
"""+ 3 3""",6
"""/ 1""",1
"""+ 2 3 9 -5 -9 1 -1""",0
"""- -4 -9 -6 -2 0 7""",6
"""* 0 -7 1 8 -2 -3 0 8 -1""",0
"""/ -9 8 1 1 7 -5 -4 -3""",0.0
"""- 9 4 5 6""",-6
"""* -7 -9 -5 -6 -5 -4 -4""",-151200
"""/ 4 -9 -5 -2 2 -1 5""",0.0
"""+ 2 -6 3 7 0 6 -8""",4
"""+ 4 0 7 4 -6 6""",15
"""/ -9 3 0 1""",null
"""* -1 -6 9""",54
"""- 4""",4
"""- -8 -4""",-4
"""/ -3 -5 -2 -8 1 1 4 -9 5""",-0.0
"""- -4 -9 2 -7""",10
"""/ -7 3 -6 8 8""",0.01
"""* 6 0 2 9 -3 -2 -1 -8 -2""",0
"""+ 7 -4 4 -4 0 -3""",0
"""+ -8 5 7 2 4 -2 2 -8""",2
"""- -8 -5 -8""",5
"""/ 1 -9 1 -4 0 -3""",null
"""/ 8 2 9 7 0 -3 -4""",null
"""+ -4 2 8 -4 -6 8 -9""",-5
"""* 2 3 -9 -2 -1 -2""",216
"""- 8 9""",-1
"""+ -4 -2""",-6
"""- 8 -3 -8 1 3 8 7 4 -5""",1
"""+ 3 -5 9 6 -8""",5
"""* -6""",-6
"""/ -1 -7 -1 4 4""",-0.01
"""- 6 -1 -2 9 -6""",6
"""+ -4 -4""",-8
"""- -2 3 5 -6 -6 -6 -4""",12
"""/ -9 -7""",1.29
"""- 7 -2 5 -8 9 5 -6""",4
"""+ -8 3 7 0 6 9 2 4""",23
"""/ 8""",8
"""+ -9 -2 -7 3 -2 -9 8 4 -4""",-18
"""* -3 -7 6 -5 1 5""",-3150
"""- -1 -2 3 -5 8 0 6 -1 4""",-14
"""/ 4 -4 6 4 3 -2 4 7""",0.0
"""/ -8 -3 -3 -1 4 6""",0.04
"""- 4 -3""",7
"""+ 0 5 3 0 5 -4 -4 -2 5""",8
"""- 5 1 0 -2 7 8""",-9
"""/ -1 0""",null
"""* -3 0 7 -4""",0
"""* -3""",-3
"""- -7 1""",-8
"""* -8 -3 -5 0""",0
"""+ -9 -9 0 -2 -5 9 -7 1""",-22
"""+ 6 -6 6 -1 3 1""",9
"""* 2""",2
"""/ 9 -9""",-1.0
"""- -5""",-5
"""+ 0 -6 -9 -6 -7 -7 4""",-31
"""/ 1 7""",0.14
"""+ 0 9 -2 5 6 4 3 -7""",18
"""- 2 -1 0 -6 6 2 9""",-8
"""* 9 3 5 1 -7 2 -8""",15120
"""* -6 -2 -8 -5 -4""",-1920
"""* 5 2 8 7 -5 -6 -1""",-16800
"""* -4 -9""",36
"""/ 3 7 -5 4 -7 8 -2 -3 -3""",-0.0
"""- 2 3 0 4 4 2 3""",-14
"""/ 4""",4
"""* 9 -8 3""",-216
"""/ 7 -9 0 -7 0 8""",null
"""- -5 -3 7 -8""",-1
"""/ 5 1 -5 -9 -1 7""",-0.02
"""- 1 9 2 -4 -7""",1
"""- 9 8 9 -5""",-3
"""- 1 -7""",8
"""/ 9 -4 2 -5 3 2""",0.04
"""/ -8 1 -5""",1.6
"""* 3 -3 -3 9""",243
"""* 6""",6
"""* 6 -2 0 9""",0
"""+ -9 -6 -9 -3""",-27
"""* 1 4 -6 4""",-96
"""- 2 8""",-6
"""- 5 3 -7 -4 -5 -9 1 -8""",34
"""/ -4 -1 4 8 -1 3""",-0.04
"""+ -3""",-3
"""- 3""",3
"""* 2 -6 1 2 3 9 -8 -1 2""",-10368
"""- 8 7 9 9 1 0 7""",-25
"""+ -1 6 -7 -4""",-6
"""* 2 -3 -7 -7 7 1""",-2058
"""- 6 9 2 8 7""",-20
"""/ -9 -2 5 -8 9 3 -5 2 5""",0.0
"""/ -4 -6 7 -8 -6 3 5""",0.0
"""- 5 0 6 8""",-9
"""* 9 1 -3 9 -3 5""",3645
"""/ 6 -2 1 7""",-0.43
"""/ -7 7 -3 1 5 -3 2 -7 -3""",-0.0
"""+ 9 -6 -4 8 5 -1 -7""",4
"""* -4 -5 -5 0""",0
"""* -9 -1 -6 -7 9 1 1""",3402
"""- 2 -7 -9 8 3 -8 0 -2 -6""",23
"""/ 8 6""",1.33
"""* -8 3""",-24
"""- 5""",5
"""* -7 -6 8 -5 -7 -4 -6 -7 8""",-15805440
"""+ 7""",7
"""/ 8 1 -2 -9 -1 4 -6 5""",0.0
"""/ 4 5 5 1 7 4 5 2""",0.0
"""* -2 -1 -2 -5""",20
"""+ -1 2 1 -2 -8 -7 8 7 -9""",-9
"""+ -7 1 5 -2 -5 6 -5 -9 -8""",-24
"""/ -6""",-6
"""+ 7 -8 -5 6 -3 0 7 6 9""",19
"""+ -4 -5 -7 -1 -3 2 8 6""",-4
"""+ 8 6 -7 -7 2""",2
"""* 5 -6 2 -8""",480
"""+ -1 3 -2 2 7 6 -9 -4""",2
"""+ 7 8 -1 -3 -1 3 -2 -9""",2
"""/ 6 -3 1 6 -8 3 -8""",-0.0
"""/ 0 1 -9 -4 -5""",-0.0
"""* -7 2 -5 -9 4""",-2520
"""+ -8 -6 8 9 -4 -6 7 7""",7
"""+ 0 2 2 -4""",0
"""/ -3 -5 1 -4 5""",-0.03
"""* 1""",1
"""- -3 8 -6""",-5
"""* 1""",1
"""+ 1 -5 0 -1 -1 0 -7 3""",-10
"""* -4 4 9 -5 -5 -1 9 1 -8""",-259200
"""- 2 5 -6 3 5 5 3""",-13
"""- -9 -3 3""",-9
"""+ 1 4 -8 -3 -2 8 9 5""",14
"""* -9 -5 -4""",-180
"""* -1 -6 -3 2 8 -2""",576
"""+ 3 -9 -9""",-15
"""/ -8 -5 8 -7 1""",-0.03
"""+ 3""",3
"""* 0 6 9 -9 9 8""",0
"""* -7""",-7
"""/ -4 -6 4 -7 0 -6""",null
"""- 7 7 -2 7 -7 -3 -3""",8
"""/ 2 2 -7 5 -4 4 -5""",-0.0
"""/ 9""",9
"""/ -2 4 -6 -4 6 6""",-0.0
"""+ 2 9 9 8""",28
"""* 5 -2 7 6 -4 4 -5""",-33600
"""* 7 -8 5""",-280
"""+ 2 -1 2""",3
"""* -3""",-3
"""+ 8 1 -4 9 0 8 5 -4 -7""",16
"""- -4 -6 5 -5 -3 3 -5 0 7""",0
"""+ 9 1 -8 9 9 -2 -3 3 2""",20
"""- -9""",-9
"""* 8 7 -9""",-504
"""* 1""",1
"""+ -2 -2 3""",-1
"""+ -3 -7 -1 -7 -3 1 -4""",-24
"""/ -5 3 -2 5 -7 5 0 4""",null
"""/ 5 -8 0 -1 3 4""",null
"""* -5 -8 4 9 2""",2880
"""/ 5 -4 3 6""",-0.07
"""* -7 -6 3 7 2 5 -6 0 -8""",0
"""* 8 -9""",-72
"""- 3 6""",-3
"""+ -7 3 4""",0
"""/ 1 2 -6 2 -1""",0.04
"""- 1 -6 -1 -2""",10
"""* -5 -4 -8 1""",-160
"""+ 2 5""",7
"""* 7 7 -6 8 -5 -6 -6""",423360
"""* 2 -4 3 -6 9 -2 -1 7 -2""",-36288
"""- 5 -3 5 -7 9 9 -6""",-2
"""/ -4 9 6 3 -3 1""",0.01
"""/ 1 4 -7 7""",-0.01
"""+ -7 3 -3 5 3 5 5 4""",15
"""/ 5 -1 6 7 0 2""",null
"""* 2 4 -6 -8 5 9""",17280
"""- -2 -3 -4 -9 0 -9 1 -9 4""",27
"""* -6 2 -9""",108
"""- -6 4 -8 -4 8""",-6
"""+ -9""",-9
"""+ -9 -5 8 1 -7 -4 5""",-11
"""/ 2 9 2 -9 4""",-0.0
"""+ -5 -5 -6 9 5""",-2
"""+ -2 4 -3 -1 0 3 -4""",-3
"""* 2 -6 -6 -7 2 0 5 -4""",0
"""* 9 -7 2 3 -9 -8 4 -3 -3""",-979776
"""/ 5""",5
"""/ -9 7 -5 0 -2""",null
"""/ -9 9 -1 4 0 6 4 -3 5""",null
"""+ 8 2 5 5 7 -5 1 2""",25
"""/ 5 -5 6 9 4 1 -8""",0.0
"""+ 1 -3 -6""",-8
"""+ 2 -1 -8 -5 -2 9 9 8 -4""",8
"""+ -9""",-9
"""+ -3 3 9 9 -4 -6 -9""",-1
"""* -5 6 -9 -6 8 4 8 -9""",3732480
